Kinases,Interaction,Target Protein
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
CaMK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MKNK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKC_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PRKCA_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KB1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
SGK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAP2K2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
